,Total investment,Gross national savings,General government revenue,General government total expenditure,General government net lending/borrowing,General government primary net lending/borrowing,General government net debt,General government gross debt,Current account balance,GDP GROWTH,Exports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Imports of goods and services (% of GDP),Expense (% of GDP),Domestic credit to private sector (% of GDP),Research and development expenditure (% of GDP),Tax revenue (% of GDP)
61,30.796,40.261,38.272,28.6,-7.772,-1.872,,63.769,-7.07,6.946216592,20.11528555,0.050018136,43.33878759,0,0,0,0
62,34.989,39.737,34.991,31.57,-6.837,-2.645,,60.613,-6.315,8.293312631,21.33341083,3.10758827,45.1576132,0,0,0,0
63,35.264,38.333,35.449,35.216,-6.212,-2.155,,64.097,-10.179,4.53652416,20.94561617,7.770525834,47.57945205,24.83187811,0,0,16.48424227
64,33.897,43.32,37.078,29.263,-5.006,-0.606,,60.245,-7.695,5.528637465,20.84738645,0.484002612,46.17317459,22.90137634,0,0,17.19613774
65,34.197,46.29,36.024,29.17,-5.163,-1.31,,57.474,-5.849,5.514667911,22.21756076,2.280019169,44.82962655,22.79392199,0,0,17.96507586
66,36.87,52.143,40.739,28.882,-3.458,-0.221,,58.203,-9.106,5.526424247,23.01299115,2.366581957,47.85935563,0,0,0,0
67,35.698,54.872,42.814,29.279,-3.263,-0.398,,56.688,-6.656,5.902659036,25.20960773,2.370728319,49.05748251,0,0,0,0
68,34.462,57.119,39.834,34.949,-3.179,-0.535,,53.55,-10.58,5.983259519,28.24786542,2.932682482,54.95421469,0,0,0.087569997,0
69,33.374,57.461,47.566,39.353,-4.884,-1.987,,55.14,-15.768,7.50004143,25.30241812,3.320870904,52.14933338,0,0,0.154119998,0
70,32.641,47.167,36.792,43.946,-6.586,-3.413,,59.666,-15.383,3.35428935,25.24074861,2.266922095,49.85416579,0,38.21344481,0,0
71,31.318,48.936,37.212,38.698,-3.52,-0.164,,57.72,-11.321,3.706938153,27.97943524,3.626046956,48.563955,0,39.08286378,0,0
72,33.462,47.946,40.019,41.174,-3.516,-0.355,58.158,59.413,-12.917,2.545406145,29.24153714,3.429123247,51.97703179,23.01110698,41.15368699,0,18.02201328
73,29.824,45.034,39.109,43.494,-3.441,-0.327,60.577,62.144,-10.202,1.4172428,28.93748776,2.031592684,47.57271286,23.00759072,40.80458311,0,17.48323356
74,27.491,43.778,35.786,36.649,-5.215,-2.005,68.246,70.391,-9.253,1.002017541,28.91631514,1.937620802,46.95739871,24.16077295,39.78654408,0,16.50327061
75,27.288,41.131,33.305,41.29,-5.458,-2.585,65.536,71.992,-10.797,1.774448853,28.21300146,1.625865044,47.19484414,24.38266544,39.26167849,0,18.30193614
76,26.237,34.326,30.544,46.222,-4.318,-1.624,68.802,73.716,-8.609,2.218726375,27.26739115,1.896174026,44.53361519,24.44617575,37.15074121,0,18.51578986
77,25.47,34.221,28.614,41.995,-1.498,0.965,69.846,73.324,-7.572,3.314980684,28.97789918,1.275431684,45.83196365,23.95672943,36.59900068,0,17.59022981
78,24.672,35.424,32.04,40.465,-1.406,0.652,65.505,71.895,-7.492,3.80259872,31.56979831,1.986661332,46.62445122,23.86758762,34.75782663,0,18.88748606
79,24.118,37.634,33.38,40.205,-1.317,0.914,61.474,69.466,-6.754,4.019345617,31.57195441,2.028059631,45.23622971,23.26681445,32.98582787,0,18.54596747
80,23.032,34.816,32.201,41.784,-1.944,0.133,60.413,67.285,-7.571,2.087711996,31.30426989,1.41109079,44.97492476,23.15065465,34.12693832,0,18.14437719
81,22.79,28.941,30.684,42.643,-6.713,-4.621,69.897,75.927,-8.677,-3.302082039,22.65778961,1.620886617,37.17193982,24.73256375,37.91517127,0,16.9832623
82,32.586,,,,,,,,0.571,0.790606972,34.33846147,9.517824498,30.33846169,0,48.50830715,0,0
83,30.83,,,,,,,,-0.472,2.999996088,34.58725077,14.65484264,30.87774286,0,52.57105497,0,0
84,31.091,,,,,,,,-0.973,6.400004115,30.92485632,6.54250963,28.99807495,0,62.16137017,0,0
85,31.329,,,,,,,,-0.179,5.400003025,27.94180611,5.96716393,25.80231124,0,65.06718023,0,0
86,29.229,,,,,,,,0.144,5.599996529,25.71001618,8.116397955,27.46636751,0,66.49738339,0,0
87,27.682,,,,,,,,1.66,3.699997255,23.58393289,10.48228704,26.74218774,0,68.72982799,0,0
88,27.919,,,,,,,,-3.623,0.400001003,12.85475734,12.37160917,23.17195323,0,69.31185043,0,0
89,25.041,,,,,,,,0.223,-0.699997526,14.27247473,7.441260913,18.41210974,0,67.53259218,0,0
90,23.504,,,,,,,,-3.678,-1.000005491,15.50786788,5.911544964,22.6037194,0,68.14677827,0,0
91,30.518,,,,,,,,-1.965,4.400002161,18.63926334,9.304361258,28.51405637,0,63.19371516,0,0
92,28.896,,,,3.636,5.26,,,2.181,0.80000058,23.44368508,16.65253439,24.9370286,0,56.14321672,0,0
93,30.947,,,,1.655,3.465,77.878,93.404,5.121,-1.200000586,29.11782217,25.88638693,23.59976454,0,46.28916649,0,0
94,29.757,,,,-1.137,1.012,62.961,75.216,2.621,1.800002303,25.31959428,31.66966191,23.86948996,0,7.254817644,0,0
95,28.259,,,,-8.454,-6.185,74.07,83.343,1.589,-2.100000758,21.783877,20.54032612,23.13893637,0,6.617753019,0,0
96,31.461,,,,-4.396,-1.634,98.432,115.419,-4.334,-0.899996552,22.53072525,29.04765612,26.05371254,0,6.489104896,0,0
97,31.571,,,,-1.409,0.564,116.261,104.041,-5.318,3.79999479,26.19477598,29.77962649,28.99622923,0,5.199387035,0,0
98,25.082,,,,2.928,5.907,98.204,98.409,2.658,4.09999847,29.76044833,18.67907586,23.94469955,0,5.364902709,0,0
99,23.286,,,,2.378,5.316,69.895,86.346,7.161,1.099999939,30.90631138,5.733522754,21.33760013,0,3.907416857,0,0
100,27.344,,,,-3.82,-1.575,72.905,86.704,-1.888,5.100003609,22.57835401,4.950161638,22.51609655,0,4.563822482,0,0
101,26.475,,,,-1.987,0.962,82.066,75.619,0.041,3.200001552,28.15011312,2.645511134,22.77899622,0,5.388089302,0,0
102,23.563,,,,9.673,12.637,62.849,57.96,16.699,3.8,42.06971772,0.339163189,20.78862591,0,5.965639986,0,0
103,26.841,,27.202,26.551,3.421,5.477,48.404,54.267,12.896,3,36.68930544,4.225988349,22.01685879,0,8.014264515,0.230279997,0
104,30.654,,25.935,24.964,0.233,1.824,45.184,51.276,7.68,5.6,35.50453671,1.418301923,25.62963474,0,12.19979248,0.366400003,0
105,30.341,,25.935,24.174,7.815,8.667,30.566,41.389,12.979,7.2,38.24882942,4.268953958,23.87594361,0,11.22232538,0.196229994,0
106,33.263,,25.512,23.654,6.854,6.75,23.474,35.211,13.027,4.3,40.0532239,3.961800303,25.64819794,0,10.99777897,0.163570002,0
107,31.656,,23.253,23.34,11.858,11.626,1.944,26.311,20.526,5.9,47.20519509,1.382446567,24.07340587,0,11.92915054,0.066040002,0
108,30.17,,23.69,25.138,13.535,13.338,-10.841,23.636,24.738,1.7,48.81068655,2.311499185,21.91932588,0,12.11709798,0,0
109,34.469,,24.722,27.556,4.885,4.752,-20.874,13.506,22.671,3.4,47.06816484,3.678995747,24.8699642,0,12.99010389,0,0
110,37.348,,26.212,29.418,8.213,7.997,-35.491,8.056,20.146,2.4,47.973343,4.858590628,28.71117516,0,12.7957995,0,0
111,46.876,,26.358,29.861,-7.153,-7.639,-39.64,9.775,0.299,1.6,35.37165186,5.737060361,35.95267869,0,16.26580586,0,0
112,41.43,,28.453,28.802,-1.486,-1.954,-33.704,10.492,7.541,3.6,38.44454735,3.911061955,31.42211391,0,15.20824099,0,0
113,38.055,,29.466,29.058,-1.155,-2.386,-31.086,9.254,9.9,2.899999999,38.78811864,4.524211505,28.68618309,0,13.71592242,0,0
114,39.158,,32.228,33.883,-4.386,-5.257,-29.034,9.326,5.879,3.4,36.89054781,8.891450911,28.51443139,0,14.02530668,0,0
115,43.39,,35.272,31.911,-0.863,-0.914,-30.019,7.094,0.398,2.8,33.20989789,3.25423911,30.40092579,0,16.49789106,0,0
116,45.554,,33.763,31.615,-7.985,-8.113,-21.803,7.658,-4.413,3.8,30.48765721,2.916926921,31.9266588,0,18.35197806,0,0
117,50.781,,34.905,32.904,-15.678,-16.253,-7.631,8.733,-16.442,3.7,23.17177801,4.784447007,36.52335059,0,21.71173301,0,0
118,50.778,,38.426,34.071,-13.382,-13.451,13.313,20.438,-16.542,3.2,20.87248521,6.397694803,35.05318267,0,22.8758054,0,0
119,48.544,,37.973,34.646,-8.425,-8.06,21.237,26.808,-13.12,1.3,22.63223229,5.59111591,32.68917073,0,24.40295773,0.534319997,0
120,47.279,,38.476,35.811,-6.825,-7.01,25.649,38.256,-9.645,1.2,25.86115082,4.269990205,32.20434095,0,24.90136648,0,0
121,44.692,,38.016,35.737,-9.583,-10.178,30.522,46.044,-9.876,1,22.71440421,1.951768211,29.09517944,0,25.80757161,0,0
122,41.852,,40.485,43.445,-11.959,-11.655,44.052,52.273,-12.911,-5.1,17.46983973,2.415130941,27.86067115,0,29.54524622,0,0
123,,17.704,,,,,,,,2.208727611,0,0,0,0,0,0,0
124,,15.105,,,,,,,,-0.132474511,0,0,0,0,0,0,0
125,,12.419,,,,,,,,1.246461111,0,0,0,0,0,0,0
126,,11.463,,,,,,,,1.770118317,0,0,0,0,0,0,0
127,,14.437,,,,,,,,1.78468669,0,0,0,0,0,0,0
128,,11.788,,,,,,,,2.321433034,0,0,0,0,0,0,0
129,,5.41,,,,,,,,3.253321776,0,0,0,0,0,0,0
130,,14.15,,,,,,,,5.547122171,0,0,0,0,0,0,0
131,,2.68,,,,,,,,5.094326203,0,0,0,0,0,0,0
132,,9.089,,,,,,,,4.82703425,0,0,0,0,0,0,0
133,,32.396,,,,,,,,3.781387586,0,0,0,0,0,0,0
134,,37.694,,,,,,,,2.546003524,0,0,0,0,0,0,0
135,,42.412,,,,,,,,0.92921404,0,0,0,0,0,0,0
136,,45.441,,,,,,,,-1.03148439,0,0,0,0,0,0,0
137,,47.822,,,,,,,,2.383182248,0,0,0,0,0,0,0
138,,52.231,,,,,,,,2.757501613,0,0,0,0,0,0,0
139,,75.766,39.104,33.197,,,,,,4.649738668,0,0,0,0,0,0,0
140,,39.511,34.882,35.186,,,,,,9.067672051,0,0,0,0,0,0,0
141,,35.624,27.629,34.339,,,,,,3.194793393,0,0,0,0,0,0,0
142,,36.319,41.128,51.772,,,,,,4.099078922,0,0,0,0,0,0,0
143,,38.005,42.858,40.568,,,,,,3.528362361,0,0,0,0,0,0,0
144,,17.787,37.463,34.287,0.652,,,15.773,,8.119357722,0,0,0,0,0,0,0
145,,27.422,28.681,31.223,0.971,,,15.266,,4.546362214,0,0,0,0,0,0,0
146,,26.017,29.715,34.4,1.761,,,15.163,,8.694203716,0,0,0,0,0,0,0
147,,33.543,30.987,29.803,1.858,,,15.105,,8.135676338,0,0,0,0,0,0,0
148,,41.158,33.697,26.527,-0.087,,,14.761,,5.397795985,0,0,0,0,0,0,0
149,,43.429,40.027,30.604,-1.448,,,16.14,,4.808688699,0,0,0,0,0,0,0
150,,39.743,42.44,38.129,-2.834,,,18.444,,1.553188141,0,0,0,0,0,0,0
151,,37.691,48.431,52.666,-3.206,,,25.096,,-5.559186369,0,0,0,0,0,0,0
152,,26.329,37.11,45.007,-3.503,,,31.119,,-5.302846543,0,0,0,0,0,0,0
153,,34.833,42.789,39.394,-0.349,,,34.875,,-1.974958,0,0,0,0,0,0,0
154,,37.876,45.483,37.402,0.408,,,36.531,,-0.008069753,0,0,0,0,0,0,0
155,,37.228,41.34,37.209,-1.655,,,41.615,,-4.974443719,0,0,0,0,0,0,0
156,,32.007,36.746,37.05,3.361,,,42.577,,-3.547596515,0,0,0,0,0,0,0
157,,29.807,30.736,36.457,2.148,,,42.039,,2.504465521,0,0,0,0,0,0,0
158,,28.491,24.134,27.051,2.001,,,40.942,,1.434140395,0,0,0,0,0,0,0
159,,24.487,17.523,22.043,4.355,,,39.773,,3.70967807,0,0,0,0,0,0,0
160,,23.287,17.516,24.103,3.327,,,37.827,,0.34607189,0,0,0,0,0,0,0
161,,28.659,22.866,20.579,2.665,,,36.345,,1.58876549,0,0,0,0,0,0,0
162,,27.045,21.179,20.403,2.278,,,35.399,18.01,2.015547638,0,0,0,0,0,0,0
163,,26.453,20.983,22.882,-2.96,,,46.329,14.634,-11.18393994,0,0,0,0,0,0,0
164,15.938,,,,,,,,1.051,0,0,0,0,0,0,0,0
165,17.288,,,,,,,,-2.947,-4.400001219,0,0,0,0,0,0,0
166,19.613,,,,,,,,-7.958,0,0,0,0,0,0,0,0
167,16.279,,,,,,,,-5.549,4.200001429,0,0,0,0,0,0,0
168,16.234,,,,,,,,-2.488,6.000002165,0,0,0,0,0,0,0
169,12.426,,,,,,,,2.306,3.49999949,0,0,0,0,0,0,0
170,12.475,,,,,,,,-3.827,2.900001742,0,0,0,0,0,0,0
171,12.37,,,,,,,,4.939,4.082748635,0,0,0,0,0,0,0
172,9.638,,,,,,,,-4.777,6.128890478,0,0,0,0,0,0,0
173,9.588,,,,,,,,-1.156,0.041621462,0,0,0,0,0,0,0
174,5.725,,19.015,18.887,,,,,-1.873,-3.450098685,0,0,0,0,0,0,0
175,12.492,,17.642,21.736,,,,,-4.756,0.991359302,0,83.78378378,0,0,0,0,0
176,21.071,,18.801,19.655,,,,,-7.821,-5.838280733,0,299.5098039,0,0,0,0,0
177,21.619,,17.949,20.533,,,,,-9.804,-23.98341744,0,1378.527607,0,0,0,0,0
178,21.016,,17.838,22.432,,,,,-6.843,1.339363436,0,949.7925311,0,0,0,0,0
179,22.826,,18.243,22.395,,,,,-4.761,15.00000003,0,2666.450593,0,0,0,0,0
180,28.368,,19.246,20.973,5.907,15.015,,,40.863,13.54436976,0,4145.105982,0,0,0,0,0
181,20.822,,18.081,18.081,-0.304,5.448,,,-9.412,7.274277355,0,219.1767212,0,0,0,0,0
182,28.778,,20.66,22.418,-6.709,0.227,,,-23.462,4.691146451,0,107.2848215,0,0,0,0,0
183,22.568,,18.785,22.14,-10.645,-3.257,,,-22.728,2.181489718,0,248.1959024,0,19.652446,0,0,16.29397166
184,30.88,,18.087,22.997,2.289,6.725,,133.914,7.125,3.054624234,89.68583119,324.9968716,62.86127827,21.83001941,0,0,28.70338216
185,30.88,,17.114,26.518,3.176,7.25,,113.505,-13.092,4.205998556,75.38894373,152.5610225,74.94685096,29.01577564,0,0,29.24667572
186,30.493,,19.3,29.037,-2.542,-0.208,,73.736,-0.982,13.66568876,57.0849959,108.8974361,48.21659641,21.12295889,0,0,15.53281183
187,30.451,,18.74,26.846,-4.685,-3.255,,57.968,-4.04,2.99,54.32133881,98.22414366,49.57989074,25.9032763,0,0,17.17158036
188,30.894,,20.118,24.472,1.184,3.104,,47.717,2.892,10.95,58.38035832,43.54210675,45.19958873,16.14544024,0,0,18.07457012
189,27.557,,19.285,24.087,7.17,8.678,,33.464,13.897,15.03,65.52626777,22.95351385,41.06469436,20.82556468,0,0,17.10911781
190,23.301,,21.85,29.311,9.423,10.69,,18.729,20.408,11.55,63.4678635,13.30521018,31.15729583,19.03264365,0,0,23.38516999
191,25.731,,21.346,26.988,4.312,5.384,,21.043,16.212,14.01,67.90578337,12.25149745,40.15428452,20.82301724,0,0,21.49916056
192,30.804,,21.025,26.386,-4.235,-2.389,,31.378,8.126,11.17,72.4750288,12.47582913,48.88967965,22.38553333,0,0,25.65014986
193,42.821,,18.373,36.209,-7.897,-6.048,,56.302,-10.769,0.86,58.7573003,13.73028393,63.68882591,25.50050284,0,0,18.36107923
194,28.197,,22.287,22.563,3.395,4.557,,37.163,8.957,4.398375938,61.54311589,14.46965649,42.58053241,25.64917574,0,0,16.59994721
195,26.424,,20.364,23.861,8.081,8.983,,29.558,11.705,3.472053148,60.66994752,13.48246792,39.31255882,26.67132149,0,0,16.10341244
196,26.668,,19.968,21.077,4.131,4.992,,26.691,10.818,8.542107076,55.94013063,10.27790492,35.85996671,23.44983006,0,0,14.82271911
197,26.143,,18.927,23.223,-0.304,0.447,,33.149,6.107,4.954613031,50.74708579,8.777814293,36.06484697,28.20923737,0,0,14.18476266
198,27.5,2.789,20.14,23.01,-5.72,-4.677,,39.81,-2.572,4.82255927,44.69502946,7.280387304,34.63789332,27.96735936,0,0,13.54263016
199,34.202,7.161,24.104,26.704,-2.917,-1.136,,57.093,-8.841,0.943571561,29.75459795,9.353839725,33.13391814,20.81883162,25.24010831,0,11.00201902
200,27.215,9.749,24.512,24.658,-4.52,-1.678,,75.663,-3.051,-2.580111222,28.12448545,30.69895786,25.24567262,17.51166398,21.0984099,0.03229,9.732512484
